"Facebook","Twitter","LinkedIn","Google+","Youtube","Pinterest","Instagram","Tumblr","Flickr","Snapchat","WhatsApp","Vine","Periscope","Viber","KikMessenger","Telegram","ooVoo","YikYak","Other","Adult"
1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Adult"
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Adult"
1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Adult"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Adult"
1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Adult"
1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"Adult"
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Adult"
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Adult"
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Adult"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Adult"
1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Adult"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Adult"
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Adult"
1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Adult"
0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Adult"
1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"HS"
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Adult"
1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,"HS"
1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,"HS"
1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,"HS"
1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,"HS"
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"HS"
1,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,"HS"
1,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,"HS"
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"HS"
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"HS"
0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"HS"
0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,"HS"
1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,"HS"
1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,"HS"
1,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,"HS"
1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"HS"
0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,"HS"
0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,"HS"
1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"HS"
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"HS"
1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,"HS"
1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,"HS"
0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,"HS"
1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,"HS"
0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"HS"
0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,"HS"
0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,"HS"
1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,"HS"
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Adult"
0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,"HS"
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"HS"
1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,"HS"
1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Adult"
0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Adult"
1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Adult"
1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,"HS"
1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,"Adult"
1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"HS"
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"HS"
1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Adult"
1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Adult"
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Adult"
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Adult"
0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Adult"
